RecordID,RecordSubID_old,RecordSubID_new,Treatment,Treatment_Severity,TimeSinceFire_years,Study_Severity,Authors,Title,DOI,StudyType,VegCover,GFEDVegCover,Region,LatLon,LitterC_Binary_Measurements,O_MineralCombo_Binary_Measurements,O_lyr_Binary_Measurements,Mineral_Binary_Measurements,BurnDepth_Binary_Measurements,SoilC_Binary_Measurements,SoilN_Binary_Measurements,pyC_char_ash_Binary_Measurements,Rs_Rh_Ra_CH4_Binary_Measurements,C02mic_BasalResp_Binary_Measurements,CUEmic_Binary_Measurements,MBC_Binary_Measurements,DOC_Binary_Measurements,Microbial_comp_Binary_Measurements,RootN_Binary_Measurements,RootC_Binary_Measurements,BD_Binary_Measurements,MRT_Binary_Measurements,SoilC_Units_StockData,SoilC1_Depth_cm_StockData,SoilC2_Depth_cm_StockData,SoilC3_Depth_cm_StockData,O_lyr_Units_StockData,PyC_Units_StockData,LitterDuff_Units_StockData,RootC_Units_StockData,MBC_Units_StockData,SrespUnits_FluxData,CH4Units_FluxData,PeatAccumulationRate_units_FluxData,EmissionsUnits_Emissions,Description_StockData,DescriptionText_StockData,SoilC1_StockData,SoilC2_StockData,SoilC3_StockData,O_lyrC_StockData,PyC_StockData,LitterDuffC_StockData,RootC_StockData,MBC_StockData,BD_gcm3_StockData,Rs_FluxData,Rh_FluxData,Ra_FluxData,CH4_FluxData,MRT_active_FluxData,MRT_passive_FluxData,MRT_total_FluxData,PeatAccumulationRate_FluxData,CO2mic_text,BurnDepth_cm_Emissions,Soil_Emissions,Litter_Emissions,Roots_Emissions,TotalBelowground_Emissions,UniqueID,Lat,Lon,Biome,Biome_simple,SoilC1_StockData_Mg_ha,SoilC1_StockData_Mg_ha_scaled,SoilC2_StockData_Mg_ha,SoilC3_StockData_Mg_ha,SoilC1_StockData_percent,SoilC2_StockData_percent,SoilC3_StockData_percent,O_lyrC_StockData_Mg_ha,O_lyrC_StockData_percent,LitterDuffC_StockData_Mg_ha,LitterDuffC_StockData_percent,RootC_StockData_Mg_ha,MBC_StockData_Mg_ha,MBC_StockData_percent,Rs_FluxData_g_m2,Rs_FluxData_g_m2_unit,Ra_FluxData_g_m2,Ra_FluxData_g_m2_unit,CH4_FluxData_g_m2,CH4_FluxData_g_m2_unit,PeatAccumulationRate_FluxData_g_m2,PeatAccumulationRate_FluxData_g_m2_unit
56,1,1,Control,Unburned,1,High,"Aranibar, JN; Macko, SA; Anderson, IC; Potgieter, ALF; Sowry, R; Shugart, HH",(PDF) Nutrient cycling responses to fire frequency in the Kruger National Park (South Africa) as indicated by Stable Isotope analysis (researchgate.net),10.1080/1025601031000096736,RxFire,savanna,SAVA,Africa,"-23.988, 31.554",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,percent,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unburned,Unburned,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56_1,-23.988,31.554,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TropicalGrassland,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,2,Burn,ModFrequency,1,High,"Aranibar, JN; Macko, SA; Anderson, IC; Potgieter, ALF; Sowry, R; Shugart, HH",(PDF) Nutrient cycling responses to fire frequency in the Kruger National Park (South Africa) as indicated by Stable Isotope analysis (researchgate.net),10.1080/1025601031000096736,RxFire,savanna,SAVA,Africa,"-23.988, 31.554",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,percent,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ModFrequency,Burned every 3 years for 20 years,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56_2,-23.988,31.554,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TropicalGrassland,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,3,Burn,HighFrequency,1,High,"Aranibar, JN; Macko, SA; Anderson, IC; Potgieter, ALF; Sowry, R; Shugart, HH",(PDF) Nutrient cycling responses to fire frequency in the Kruger National Park (South Africa) as indicated by Stable Isotope analysis (researchgate.net),10.1080/1025601031000096736,RxFire,savanna,SAVA,Africa,"-23.988, 31.554",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,percent,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighFrequency,Burned annually for 20 years,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56_3,-23.988,31.554,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TropicalGrassland,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,1,1,Control,Control_ref,2,Low,"Nghalipo, Elise N.; Throop, Heather L.","Vegetation patch type has a greater influence on soil respiration than does fire history on soil respiration in an arid broadleaf savanna woodland, central Namibia - ScienceDirect",10.1016/j.jaridenv.2021.104577,Wildfire,savanna woodland,SAVA,Africa,"-20.5, 17.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,umolCO2_per_m2_per_sec,NA,NA,NA,Control_ref,Control_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031_1,-20.5,17.1,Deserts & Xeric Shrublands,Desert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec,NA,sec,NA,NA,NA,NA
1031,2,2,Control,Control_ref,3,Low,"Nghalipo, Elise N.; Throop, Heather L.","Vegetation patch type has a greater influence on soil respiration than does fire history on soil respiration in an arid broadleaf savanna woodland, central Namibia - ScienceDirect",10.1016/j.jaridenv.2021.104577,Wildfire,savanna woodland,SAVA,Africa,"-20.5, 17.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,umolCO2_per_m2_per_sec,NA,NA,NA,Control_ref,Control_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031_2,-20.5,17.1,Deserts & Xeric Shrublands,Desert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec,NA,sec,NA,NA,NA,NA
1031,3,3,Control,Control_ref,15,Low,"Nghalipo, Elise N.; Throop, Heather L.","Vegetation patch type has a greater influence on soil respiration than does fire history on soil respiration in an arid broadleaf savanna woodland, central Namibia - ScienceDirect",10.1016/j.jaridenv.2021.104577,Wildfire,savanna woodland,SAVA,Africa,"-20.5, 17.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,umolCO2_per_m2_per_sec,NA,NA,NA,Control_ref,Control_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031_3,-20.5,17.1,Deserts & Xeric Shrublands,Desert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec,NA,sec,NA,NA,NA,NA
1031,4,4,Control,Control_ref,25,Low,"Nghalipo, Elise N.; Throop, Heather L.","Vegetation patch type has a greater influence on soil respiration than does fire history on soil respiration in an arid broadleaf savanna woodland, central Namibia - ScienceDirect",10.1016/j.jaridenv.2021.104577,Wildfire,savanna woodland,SAVA,Africa,"-20.5, 17.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,umolCO2_per_m2_per_sec,NA,NA,NA,Control_ref,Control_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031_4,-20.5,17.1,Deserts & Xeric Shrublands,Desert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec,NA,sec,NA,NA,NA,NA
1031,1,5,Burn,Burned,2,Low,"Nghalipo, Elise N.; Throop, Heather L.","Vegetation patch type has a greater influence on soil respiration than does fire history on soil respiration in an arid broadleaf savanna woodland, central Namibia - ScienceDirect",10.1016/j.jaridenv.2021.104577,Wildfire,savanna woodland,SAVA,Africa,"-20.5, 17.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,umolCO2_per_m2_per_sec,NA,NA,NA,Burned,Bare ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,No change,NA,NA,NA,NA,NA,1031_5,-20.5,17.1,Deserts & Xeric Shrublands,Desert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76E-05,sec,NA,sec,NA,NA,NA,NA
1031,2,6,Burn,Burned,3,Low,"Nghalipo, Elise N.; Throop, Heather L.","Vegetation patch type has a greater influence on soil respiration than does fire history on soil respiration in an arid broadleaf savanna woodland, central Namibia - ScienceDirect",10.1016/j.jaridenv.2021.104577,Wildfire,savanna woodland,SAVA,Africa,"-20.5, 17.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,umolCO2_per_m2_per_sec,NA,NA,NA,Burned,Bare ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,No change,NA,NA,NA,NA,NA,1031_6,-20.5,17.1,Deserts & Xeric Shrublands,Desert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.80E-05,sec,NA,sec,NA,NA,NA,NA
1031,3,7,Burn,Burned,15,Low,"Nghalipo, Elise N.; Throop, Heather L.","Vegetation patch type has a greater influence on soil respiration than does fire history on soil respiration in an arid broadleaf savanna woodland, central Namibia - ScienceDirect",10.1016/j.jaridenv.2021.104577,Wildfire,savanna woodland,SAVA,Africa,"-20.5, 17.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,umolCO2_per_m2_per_sec,NA,NA,NA,Burned,Bare ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,No Change,NA,NA,NA,NA,NA,1031_7,-20.5,17.1,Deserts & Xeric Shrublands,Desert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76E-05,sec,NA,sec,NA,NA,NA,NA
