RecordID,RecordSubID_old,RecordSubID_new,Treatment,Treatment_Type,TimeSinceFire_years,Study_Severity,Authors,Title,DOI,StudyType,VegCover,Region,Lat,Lon,LiveC_Binary_Measurements,DeadC_Binary_Measurements,SoilC_Binary_Measurements,GPP_Binary_Measurements,Respiration_Binary_Measurements,NEP_Binary_Measurements,NPP_Binary_Measurements,VegChange_Binary_Measurements,N_Binary_Measurements,MCB_Binary_Measurements,Emissions_Binary_Measurements,Mortality_Binary_Measurements,LiveC_units_StockData,DeadC_units_StockData,SoilC_units_StockData,SoilDepth_cm_StockData,MCB_units_StockData,Roots_units_StockData,TotalBG_units_StockData,TotalAG_units_StockData,TEC_Units_StockData,NPP_units_FluxData,GPP_units_FluxData,Resp_units_FluxData,NEP_units_FluxData,EmissionsUnits_EmissionsData,Description_StockData,Description_text_StockData,LiveC_StockData,DeadC_StockData,TotalSoilC_StockData,MCB_StockData,RootC_StockData,TotalBelowgroundC_StockData,TotalAbovegroundC_StockData,TEC_StockData,NPP_FluxData,ANPP_FluxData,BNPP_FluxData,GPP_FluxData,Sresp_FluxData,Ra_FluxData,Rh_FluxData,Reco_FluxData,NEP_FluxData,NBP_FluxData,LiveC_EmissionsData,DeadC_EmissionsData,TotalAboveC_EmissionsData,TotalBelowC_EmissionsData,PyrogenicC_EmissionsData,TotEmissions_EmissionsData,UniqueID,Biome,Biome_simple,LiveC_StockData_MgC_ha,DeadC_StockData_MgC_ha,TotalSoilC_StockData_MgC_ha,TotalSoilC_StockData_MgC_ha_scaled,TotalSoilC_StockData_percent,MCB_StockData_percent,RootC_StockData_MgC_ha,TotalBelowgroundC_StockData_MgC_ha,TotalBelowgroundC_StockData_percent,TotalAbovegroundC_StockData_MgC_ha,TotalAbovegroundC_StockData_percent,TEC_StockData_MgC_ha,NPP_FluxData_g_m2,NPP_FluxData_g_m2_unit,ANPP_FluxData_g_m2,ANPP_FluxData_g_m2_unit,BNPP_FluxData_g_m2,BNPP_FluxData_g_m2_unit,GPP_FluxData_g_m2,GPP_FluxData_g_m2_unit,Sresp_FluxData_g_m2,Sresp_FluxData_g_m2_unit,Ra_FluxData_g_m2,Ra_FluxData_g_m2_unit,Rh_FluxData_g_m2,Rh_FluxData_g_m2_unit,Reco_FluxData_g_m2,Reco_FluxData_g_m2_unit,NEP_FluxData_g_m2,NEP_FluxData_g_m2_unit,NBP_FluxData_g_m2,NBP_FluxData_g_m2_unit,LiveC_EmissionsData_g_m2,DeadC_EmissionsData_g_m2,TotalAboveC_EmissionsData_g_m2,TotalBelowC_EmissionsData_g_m2,PyrogenicC_EmissionsData_g_m2,TotEmissions_EmissionsData_g_m2
7,1,1,Control,Unburned,23,Mixed,"Adinugroho, Wahyu Catur; Prasetyo, Lilik Budi; Kusmana, Cecep; Krisnawati, Haruni; Weston, Christopher J.; Volkova, Liubov",Sustainability | Free Full-Text | Recovery of Carbon and Vegetation Diversity 23 Years after Fire in a Tropical Dryland Forest of Indonesia (mdpi.com),10.3390/su14126964,Wildfire,Forest,Indonesia,-1.2,116.9,1,1,1,0,0,0,0,1,0,0,0,0,MgC_per_hectare,MgC_per_hectare,MgC_per_hectare,,,,,,MgC_per_hectare,,,,,,Unburned,,147,31.6,41.6,,,,,220,,,,,,,,,,,,,,,,,7_1,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,147,31.6,41.6,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2,Burn,Burned,23,Mixed,"Adinugroho, Wahyu Catur; Prasetyo, Lilik Budi; Kusmana, Cecep; Krisnawati, Haruni; Weston, Christopher J.; Volkova, Liubov",Sustainability | Free Full-Text | Recovery of Carbon and Vegetation Diversity 23 Years after Fire in a Tropical Dryland Forest of Indonesia (mdpi.com),10.3390/su14126964,Wildfire,Forest,Indonesia,-1.2,116.9,1,1,1,0,0,0,0,1,0,0,0,0,MgC_per_hectare,MgC_per_hectare,MgC_per_hectare,,,,,,MgC_per_hectare,,,,,,Burned,,80,66,54,,,,,199,,,,,,,,,,,,,,,,,7_1,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,80,66,54,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,1,Control,Control_ref,30,High,"Alexander, Heather D.; Mack, Michelle C.",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above- and Belowground Carbon and Nitrogen Pools during Post-fire Succession | SpringerLink,10.1007/s10021-015-9920-7,Wildfire,BlackSpruce,USA,65,-145,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,gC_per_m2,gC_per_m2,gC_per_m2,gC_per_m2_per_year,,,,,Control_ref,100+ years since fire,,,,,,7395,1006,8400,,88,,,,,,,,,,,,,,,21_1,Tundra,AlpineBorealForest,,,,,,,,73.95,,10.06,,84,,year,88,year,,year,,,,,,,,,,,,,,,,,,,,
21,2,2,Control,Control_ref,50,High,"Alexander, Heather D.; Mack, Michelle C.",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above- and Belowground Carbon and Nitrogen Pools during Post-fire Succession | SpringerLink,10.1007/s10021-015-9920-7,Wildfire,BlackSpruce,USA,65,-145,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,gC_per_m2,gC_per_m2,gC_per_m2,gC_per_m2_per_year,,,,,Control_ref,100+ years since fire,,,,,,7395,1006,8400,,88,,,,,,,,,,,,,,,21_2,Tundra,AlpineBorealForest,,,,,,,,73.95,,10.06,,84,,year,88,year,,year,,,,,,,,,,,,,,,,,,,,
21,3,3,Control,Control_ref,30,High,"Alexander, Heather D.; Mack, Michelle C.",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above- and Belowground Carbon and Nitrogen Pools during Post-fire Succession | SpringerLink,10.1007/s10021-015-9920-7,Wildfire,Aspen,USA,65,-145,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,gC_per_m2,gC_per_m2,gC_per_m2,gC_per_m2_per_year,,,,,Control_ref,100+ years since fire,,,,,,1519,6430,7949,,410.3,,,,,,,,,,,,,,,21_3,Tundra,AlpineBorealForest,,,,,,,,15.19,,64.3,,79.49,,year,410.3,year,,year,,,,,,,,,,,,,,,,,,,,
21,4,4,Control,Control_ref,50,High,"Alexander, Heather D.; Mack, Michelle C.",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above- and Belowground Carbon and Nitrogen Pools during Post-fire Succession | SpringerLink,10.1007/s10021-015-9920-7,Wildfire,Aspen,USA,65,-145,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,gC_per_m2,gC_per_m2,gC_per_m2,gC_per_m2_per_year,,,,,Control_ref,100+ years since fire,,,,,,1519,6430,7949,,410.3,,,,,,,,,,,,,,,21_4,Tundra,AlpineBorealForest,,,,,,,,15.19,,64.3,,79.49,,year,410.3,year,,year,,,,,,,,,,,,,,,,,,,,
21,5,5,Control,Control_ref,30,High,"Alexander, Heather D.; Mack, Michelle C.",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above- and Belowground Carbon and Nitrogen Pools during Post-fire Succession | SpringerLink,10.1007/s10021-015-9920-7,Wildfire,Birch,USA,65,-145,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,gC_per_m2,gC_per_m2,gC_per_m2,gC_per_m2_per_year,,,,,Control_ref,100+ years since fire,,,,,,3970,6324,10294,,579,,,,,,,,,,,,,,,21_5,Tundra,AlpineBorealForest,,,,,,,,39.7,,63.24,,102.94,,year,579,year,,year,,,,,,,,,,,,,,,,,,,,
21,6,6,Control,Control_ref,50,High,"Alexander, Heather D.; Mack, Michelle C.",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above- and Belowground Carbon and Nitrogen Pools during Post-fire Succession | SpringerLink,10.1007/s10021-015-9920-7,Wildfire,Birch,USA,65,-145,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,gC_per_m2,gC_per_m2,gC_per_m2,gC_per_m2_per_year,,,,,Control_ref,100+ years since fire,,,,,,3970,6324,10294,,579,,,,,,,,,,,,,,,21_6,Tundra,AlpineBorealForest,,,,,,,,39.7,,63.24,,102.94,,year,579,year,,year,,,,,,,,,,,,,,,,,,,,
21,1,7,Burn,Burned,30,High,"Alexander, Heather D.; Mack, Michelle C.",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above- and Belowground Carbon and Nitrogen Pools during Post-fire Succession | SpringerLink,10.1007/s10021-015-9920-7,Wildfire,BlackSpruce,USA,65,-145,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,gC_per_m2,gC_per_m2,gC_per_m2,gC_per_m2_per_year,,,,,Burned,,,,,,,4532,517,5000,,83,,,,,,,,,,,,,,,21_1,Tundra,AlpineBorealForest,,,,,,,,45.32,,5.17,,50,,year,83,year,,year,,,,,,,,,,,,,,,,,,,,
21,2,8,Burn,Burned,50,High,"Alexander, Heather D.; Mack, Michelle C.",A Canopy Shift in Interior Alaskan Boreal Forests: Consequences for Above- and Belowground Carbon and Nitrogen Pools during Post-fire Succession | SpringerLink,10.1007/s10021-015-9920-7,Wildfire,BlackSpruce,USA,65,-145,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,gC_per_m2,gC_per_m2,gC_per_m2,gC_per_m2_per_year,,,,,Burned,,,,,,,5080,1173,6500,,182,,,,,,,,,,,,,,,21_2,Tundra,AlpineBorealForest,,,,,,,,50.8,,11.73,,65,,year,182,year,,year,,,,,,,,,,,,,,,,,,,,
