"","RecordID","RecordSubID_old","RecordSubID_new","Treatment","Treatment_Type","TimeSinceFire_years","Study_Severity","Authors","Title","DOI","StudyType","VegCover","GFEDVegCover","Region","Lat","Lon","LiveC_Binary_Measurements","DeadC_Binary_Measurements","SoilC_Binary_Measurements","GPP_Binary_Measurements","Respiration_Binary_Measurements","NEP_Binary_Measurements","NPP_Binary_Measurements","VegChange_Binary_Measurements","N_Binary_Measurements","MCB_Binary_Measurements","Emissions_Binary_Measurements","Mortality_Binary_Measurements","LiveC_units_StockData","DeadC_units_StockData","SoilC_units_StockData","SoilDepth_cm_StockData","MCB_units_StockData","Roots_units_StockData","TotalBG_units_StockData","TotalAG_units_StockData","TEC_Units_StockData","NPP_units_FluxData","GPP_units_FluxData","Resp_units_FluxData","NEP_units_FluxData","EmissionsUnits_EmissionsData","Description_StockData","Description_text_StockData","LiveC_StockData","DeadC_StockData","TotalSoilC_StockData","MCB_StockData","RootC_StockData","TotalBelowgroundC_StockData","TotalAbovegroundC_StockData","TEC_StockData","NPP_FluxData","ANPP_FluxData","BNPP_FluxData","GPP_FluxData","Sresp_FluxData","Ra_FluxData","Rh_FluxData","Reco_FluxData","NEP_FluxData","NBP_FluxData","LiveC_EmissionsData","DeadC_EmissionsData","TotalAboveC_EmissionsData","TotalBelowC_EmissionsData","PyrogenicC_EmissionsData","TotEmissions_EmissionsData","UniqueID","Biome","Biome_simple","LiveC_StockData_MgC_ha","DeadC_StockData_MgC_ha","TotalSoilC_StockData_MgC_ha","TotalSoilC_StockData_MgC_ha_scaled","TotalSoilC_StockData_percent","MCB_StockData_percent","RootC_StockData_MgC_ha","TotalBelowgroundC_StockData_MgC_ha","TotalBelowgroundC_StockData_percent","TotalAbovegroundC_StockData_MgC_ha","TotalAbovegroundC_StockData_percent","TEC_StockData_MgC_ha","NPP_FluxData_g_m2","NPP_FluxData_g_m2_unit","ANPP_FluxData_g_m2","ANPP_FluxData_g_m2_unit","BNPP_FluxData_g_m2","BNPP_FluxData_g_m2_unit","GPP_FluxData_g_m2","GPP_FluxData_g_m2_unit","Sresp_FluxData_g_m2","Sresp_FluxData_g_m2_unit","Ra_FluxData_g_m2","Ra_FluxData_g_m2_unit","Rh_FluxData_g_m2","Rh_FluxData_g_m2_unit","Reco_FluxData_g_m2","Reco_FluxData_g_m2_unit","NEP_FluxData_g_m2","NEP_FluxData_g_m2_unit","NBP_FluxData_g_m2","NBP_FluxData_g_m2_unit","LiveC_EmissionsData_g_m2","DeadC_EmissionsData_g_m2","TotalAboveC_EmissionsData_g_m2","TotalBelowC_EmissionsData_g_m2","PyrogenicC_EmissionsData_g_m2","TotEmissions_EmissionsData_g_m2"
"1",1498,1,1,"Control","PreFire",1,"Mixed","Walker, Xanthe J.; Baltzer, Jennifer L.; Bourgeau-Chavez, Laura; Day, Nicola J.; Dieleman, Catherine M.; Johnstone, Jill F.; Kane, Evan S.; Rogers, Brendan M.; Turetsky, Merritt R.; Veraverbeke, Sander; Mack, Michelle C.","Frontiers | Patterns of Ecosystem Structure and Wildfire Carbon Combustion Across Six Ecoregions of the North American Boreal Forest (frontiersin.org)","10.3389/ffgc.2020.00087","Wildfire","Picea mariana","BORF","USA",64.383497,-123.850745,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,"gC_per_m2","gC_per_m2","gC_per_m2",NA,NA,NA,NA,"gC_per_m2","PreFire",NA,NA,NA,NA,NA,NA,5335.7,1444.9,6780.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1498_1","Boreal Forests/Taiga","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,53.357,NA,14.449,NA,67.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1498,1,7,"Burn","Burned",1,"Mixed","Walker, Xanthe J.; Baltzer, Jennifer L.; Bourgeau-Chavez, Laura; Day, Nicola J.; Dieleman, Catherine M.; Johnstone, Jill F.; Kane, Evan S.; Rogers, Brendan M.; Turetsky, Merritt R.; Veraverbeke, Sander; Mack, Michelle C.","Frontiers | Patterns of Ecosystem Structure and Wildfire Carbon Combustion Across Six Ecoregions of the North American Boreal Forest (frontiersin.org)","10.3389/ffgc.2020.00087","Wildfire","Picea mariana","BORF","USA",64.383497,-123.850745,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,"gC_per_m2","gC_per_m2","gC_per_m2",NA,NA,NA,NA,"gC_per_m2","Burned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.8,2552.7,NA,3117.5,"1498_1","Boreal Forests/Taiga","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.8,2552.7,NA,3117.5
"3",700,1,1,"Control",NA,0.1,"Mixed","Kasischke, Eric S.; Hoy, Elizabeth E.","Controls on carbon consumption during Alaskan wildland fires","10.1071/RJ13123","Wildfire","black spruce upland","BORF","USA",64.0621,-153.3766,0,1,0,0,0,0,0,0,0,0,1,1,NA,"kgC_per_m2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kgC_per_m2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"700_1","Boreal Forests/Taiga","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",700,2,2,"Control",NA,0.1,"Mixed","Kasischke, Eric S.; Hoy, Elizabeth E.","Controls on carbon consumption during Alaskan wildland fires","10.1071/RJ13123","Wildfire","black spruce lowland","BORF","USA",64.0621,-153.3766,0,1,0,0,0,0,0,0,0,0,1,1,NA,"kgC_per_m2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kgC_per_m2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"700_2","Boreal Forests/Taiga","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",700,1,3,"Burn","Burned",0.1,"Mixed","Kasischke, Eric S.; Hoy, Elizabeth E.","Controls on carbon consumption during Alaskan wildland fires","10.1071/RJ13123","Wildfire","black spruce upland","BORF","USA",64.0621,-153.3766,0,1,0,0,0,0,0,0,0,0,1,1,NA,"kgC_per_m2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kgC_per_m2","Burned","upland, 2004 September",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,"700_1","Boreal Forests/Taiga","AlpineBorealForest",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,NA
"6",700,2,4,"Burn","Burned",0.1,"Mixed","Kasischke, Eric S.; Hoy, Elizabeth E.","Controls on carbon consumption during Alaskan wildland fires","10.1071/RJ13123","Wildfire","black spruce lowland","BORF","USA",64.0621,-153.3766,0,1,0,0,0,0,0,0,0,0,1,1,NA,"kgC_per_m2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kgC_per_m2","Burned","black spruce lowland, 2004 September",NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,"700_2","Boreal Forests/Taiga","AlpineBorealForest",NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800,NA,NA,NA
"7",1059,1,1,"Control","Unburned",2,"Mixed","O'Donnell, Jonathan A.; Turetsky, Merritt R.; Harden, Jennifer W.; Manies, Kristen L.; Pruett, Lee E.; Shetler, Gordon; Neff, Jason C.","Interactive Effects of Fire, Soil Climate, and Moss on CO2 Fluxes in Black Spruce Ecosystems of Interior Alaska","10.1007/s10021-008-9206-4","Wildfire","peatland","PEAT","USA",65.15,-147.2,1,0,0,0,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"gC_per_m2",NA,NA,NA,"gC_per_m2_per_day","gC_per_m2_per_day",NA,"Unburned",NA,NA,NA,NA,NA,NA,NA,4860,NA,NA,NA,NA,NA,NA,NA,NA,1.59,1.51,NA,NA,NA,NA,NA,NA,NA,"1059_1","Tundra","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"day",NA,"day",NA,"day",1.59,"day",1.51,"day",NA,"day",NA,NA,NA,NA,NA,NA
"8",1059,2,2,"Control","Unburned",2,"Mixed","O'Donnell, Jonathan A.; Turetsky, Merritt R.; Harden, Jennifer W.; Manies, Kristen L.; Pruett, Lee E.; Shetler, Gordon; Neff, Jason C.","Interactive Effects of Fire, Soil Climate, and Moss on CO2 Fluxes in Black Spruce Ecosystems of Interior Alaska","10.1007/s10021-008-9206-4","Wildfire","black spruce upland","BORF","USA",65.15,-147.2,1,0,0,0,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"gC_per_m2",NA,NA,NA,"gC_per_m2_per_day","gC_per_m2_per_day",NA,"Unburned",NA,NA,NA,NA,NA,NA,NA,5936,NA,NA,NA,NA,NA,NA,NA,NA,1.21,5e-04,NA,NA,NA,NA,NA,NA,NA,"1059_2","Tundra","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,59.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"day",NA,"day",NA,"day",1.21,"day",5e-04,"day",NA,"day",NA,NA,NA,NA,NA,NA
"9",1059,1,3,"Burn","Burned",2,"Mixed","O'Donnell, Jonathan A.; Turetsky, Merritt R.; Harden, Jennifer W.; Manies, Kristen L.; Pruett, Lee E.; Shetler, Gordon; Neff, Jason C.","Interactive Effects of Fire, Soil Climate, and Moss on CO2 Fluxes in Black Spruce Ecosystems of Interior Alaska","10.1007/s10021-008-9206-4","Wildfire","peatland","PEAT","USA",65.15,-147.2,1,0,0,0,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"gC_per_m2",NA,NA,NA,"gC_per_m2_per_day","gC_per_m2_per_day",NA,"Burned","peatland",NA,NA,NA,NA,NA,NA,41648,NA,NA,NA,NA,NA,NA,NA,NA,1.05,-0.16,NA,NA,NA,NA,NA,NA,NA,"1059_1","Tundra","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,416.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"day",NA,"day",NA,"day",1.05,"day",-0.16,"day",NA,"day",NA,NA,NA,NA,NA,NA
"10",1059,2,4,"Burn","Burned",2,"Mixed","O'Donnell, Jonathan A.; Turetsky, Merritt R.; Harden, Jennifer W.; Manies, Kristen L.; Pruett, Lee E.; Shetler, Gordon; Neff, Jason C.","Interactive Effects of Fire, Soil Climate, and Moss on CO2 Fluxes in Black Spruce Ecosystems of Interior Alaska","10.1007/s10021-008-9206-4","Wildfire","black spruce upland","BORF","USA",65.15,-147.2,1,0,0,0,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"gC_per_m2",NA,NA,NA,"gC_per_m2_per_day","gC_per_m2_per_day",NA,"Burned","peatland",NA,NA,NA,NA,NA,NA,11238,NA,NA,NA,NA,NA,NA,NA,NA,0.75,5e-04,NA,NA,NA,NA,NA,NA,NA,"1059_2","Tundra","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,112.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"day",NA,"day",NA,"day",0.75,"day",5e-04,"day",NA,"day",NA,NA,NA,NA,NA,NA
